Time(s) RTT(ms)
0.0 0.00184693
1.15549 1.71713 ms
1.15564 1.75249 ms
1.15583 1.65842 ms
1.15629 1.70112 ms
1.15718 1.73848 ms
1.15723 1.77117 ms
1.15735 1.79977 ms
1.15754 1.8248 ms
1.15799 1.7217 ms
1.15888 1.63149 ms
1.15893 1.55255 ms
1.15905 1.60848 ms
1.15924 1.65742 ms
1.1597 1.70024 ms
1.16059 1.73771 ms
1.16064 1.7705 ms
1.16076 1.67418 ms
1.16095 1.58991 ms
1.16143 1.64117 ms
1.1623 1.68602 ms
1.16234 1.72527 ms
1.16246 1.75961 ms
1.16266 1.78966 ms
1.16314 1.81595 ms
1.164 1.83896 ms
1.16405 1.85909 ms
1.16417 1.8767 ms
1.16436 1.89211 ms
1.16487 1.7806 ms
1.16571 1.68302 ms
1.16576 1.59765 ms
1.16588 1.52294 ms
1.1661 1.58257 ms
1.16657 1.63475 ms
1.16741 1.68041 ms
1.16746 1.72036 ms
1.16761 1.75531 ms
1.16782 1.6609 ms
1.16828 1.70328 ms
1.16915 1.74037 ms
1.16919 1.77283 ms
1.16931 1.80122 ms
1.16955 1.82607 ms
1.16999 1.72281 ms
1.17085 1.63246 ms
1.1709 1.5534 ms
1.17104 1.60922 ms
1.17126 1.65807 ms
1.17169 1.70081 ms
1.17258 1.73821 ms
1.17263 1.77093 ms
1.17275 1.67457 ms
1.17297 1.59024 ms
1.1734 1.64146 ms
1.17429 1.68628 ms
1.17434 1.7255 ms
1.17446 1.75981 ms
1.17467 1.78983 ms
1.1751 1.8161 ms
1.17599 1.71409 ms
1.17604 1.74983 ms
1.17616 1.7811 ms
1.17638 1.80846 ms
1.17684 1.7074 ms
1.1777 1.74398 ms
1.17775 1.65098 ms
1.17787 1.56961 ms
1.17808 1.6234 ms
1.17854 1.67048 ms
1.17941 1.71167 ms
1.17945 1.74771 ms
1.17957 1.77925 ms
1.17979 1.68184 ms
1.18027 1.72161 ms
1.18111 1.75641 ms
1.18116 1.78686 ms
1.18128 1.8135 ms
1.18152 1.83681 ms
1.18198 1.73221 ms
1.18282 1.64068 ms
1.18287 1.5606 ms
1.18301 1.61552 ms
1.18323 1.66358 ms
1.18368 1.70563 ms
1.18455 1.74243 ms
1.1846 1.77462 ms
1.18472 1.6778 ms
1.18496 1.59307 ms
1.18539 1.64394 ms
1.18626 1.68844 ms
1.1863 1.72739 ms
1.18645 1.76146 ms
1.18666 1.79128 ms
1.1871 1.81737 ms
1.18799 1.7152 ms
1.18803 1.7508 ms
1.18815 1.78195 ms
1.18837 1.8092 ms
1.1888 1.70805 ms
1.18969 1.74455 ms
1.18974 1.65148 ms
1.18986 1.57004 ms
1.19008 1.62379 ms
1.19051 1.67081 ms
1.1914 1.71196 ms
1.19145 1.74796 ms
1.19157 1.77947 ms
1.19178 1.68203 ms
1.19224 1.72178 ms
1.1931 1.75656 ms
1.19315 1.78699 ms
1.19327 1.81361 ms
1.19349 1.83691 ms
1.19395 1.7323 ms
1.19481 1.64076 ms
1.19486 1.56066 ms
1.19498 1.49058 ms
1.1952 1.55426 ms
1.19568 1.60997 ms
1.19652 1.65873 ms
1.19657 1.70139 ms
1.19669 1.73871 ms
1.19693 1.64637 ms
1.19738 1.69058 ms
1.19822 1.72925 ms
1.19827 1.7631 ms
1.19842 1.79271 ms
1.19863 1.81862 ms
1.19909 1.84129 ms
1.19995 1.73613 ms
1.2 1.76911 ms
1.20012 1.79797 ms
1.20036 1.82323 ms
1.2008 1.72032 ms
1.20166 1.75528 ms
1.20171 1.66087 ms
1.20185 1.57826 ms
1.20207 1.63098 ms
1.2025 1.6771 ms
1.20337 1.71747 ms
1.20341 1.75278 ms
1.20353 1.78368 ms
1.20375 1.68572 ms
1.20418 1.72501 ms
1.20501 1.75938 ms
1.20506 1.78946 ms
1.20518 1.81577 ms
1.2054 1.8388 ms
1.20583 1.73395 ms
1.20665 1.64221 ms
1.2067 1.56193 ms
1.20682 1.49169 ms
1.20703 1.55523 ms
1.20749 1.61082 ms
1.20828 1.65947 ms
1.20833 1.70204 ms
1.20845 1.73928 ms
1.20867 1.64687 ms
1.20912 1.69101 ms
1.20992 1.60464 ms
1.20996 1.52906 ms
1.21008 1.58792 ms
1.2103 1.63943 ms
1.21078 1.5595 ms
1.21155 1.61457 ms
1.2116 1.66274 ms
1.21172 1.5799 ms
1.21196 1.50741 ms
1.21241 1.56899 ms
1.21318 1.62286 ms
1.21323 1.67 ms
1.21338 1.71125 ms
1.21359 1.74735 ms
1.21405 1.77893 ms
1.21484 1.68156 ms
1.21489 1.59637 ms
1.21501 1.64682 ms
1.21526 1.69097 ms
1.21568 1.60459 ms
1.21648 1.65402 ms
1.21652 1.69727 ms
1.21667 1.61011 ms
1.21691 1.53384 ms
1.21732 1.59211 ms
1.21813 1.6431 ms
1.21818 1.68771 ms
1.2183 1.72675 ms
1.21857 1.7609 ms
1.21895 1.66579 ms
1.21977 1.58256 ms
1.21982 1.50974 ms
1.21994 1.44603 ms
1.22021 1.51527 ms
1.22059 1.57586 ms
1.2214 1.62888 ms
1.22145 1.67527 ms
1.22157 1.71586 ms
1.22186 1.62638 ms
1.22224 1.67308 ms
1.22304 1.71394 ms
1.22308 1.7497 ms
1.22321 1.78099 ms
1.22352 1.80836 ms
1.22388 1.70732 ms
1.22467 1.6189 ms
1.22472 1.54154 ms
1.22484 1.47385 ms
1.22518 1.53962 ms
1.22554 1.59716 ms
1.22631 1.64752 ms
1.22635 1.69158 ms
1.22647 1.73013 ms
1.22681 1.63886 ms
1.22717 1.684 ms
1.22794 1.5985 ms
1.22799 1.52369 ms
1.22813 1.58323 ms
1.22847 1.63532 ms
1.2288 1.55591 ms
1.2296 1.61142 ms
1.22965 1.65999 ms
1.22977 1.57749 ms
1.2301 1.63031 ms
1.23044 1.67652 ms
1.23123 1.71695 ms
1.23128 1.75233 ms
1.23142 1.78329 ms
1.23174 1.68538 ms
1.23207 1.72471 ms
1.23289 1.63412 ms
1.23294 1.55485 ms
1.23306 1.6105 ms
1.23337 1.65918 ms
1.23371 1.57679 ms
1.23452 1.62969 ms
